locationName,locationStatus,method,locationId,locationParentName,locationParentId,locationType,locationTypeCode,locationAdminLevel,locationPhysicalType,locationPhysicalTypeCode,longitude,latitude
Madagascar,active,update,03176924-6b3c-4b74-bccd-32afcceebabd,Root FHIR Location,c3eb59b0-40a5-4538-b308-7256770399ca,jurisdiction,jdn,1,Jurisdiction,jdn,,
ALAOTRA MANGORO,active,update,bf116fdd-6617-4302-88e4-72fd1af2851c,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
AMORON'I MANIA,active,update,6313a8e6-85c0-4a1a-8d1d-f97787394673,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ANALAMANGA,active,update,d6fb17c9-ef9d-4e82-877c-a4a50a8f64cb,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ANALANJIROFO,active,update,bb30770a-d039-4bfa-9c02-a32d0f32af42,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ANDROY,active,update,5876f357-cff5-4f03-ad97-fc79b7375bec,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ANOSY,active,update,35c69b22-8595-4118-8322-0418ca32f06f,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ATSIMO ANDREFANA,active,update,d64f3bac-4ea9-42b3-81e8-17b3f3b7ae8e,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ATSIMO ATSINANANA,active,update,ef3db216-0816-4cef-b108-706c17c2b40a,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ATSINANANA,active,update,727a1a8a-2139-4011-a21c-d135dc9257e0,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
BETSIBOKA,active,update,a6f1f5b7-7cb7-48bd-88d1-fea578ec5f6e,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
BOENY,active,update,7d913e78-11ee-4f8f-8790-9347efb295e7,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
BONGOLAVA,active,update,f7b70d25-97a5-4e4a-86ff-df70302c65fe,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
DIANA,active,update,ca04e954-c52d-46aa-b9f9-39132b690b7e,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
HAUTE MATSIATRA,active,update,eadca602-3141-4248-93f5-575732b39c76,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
IHOROMBE,active,update,b16fb018-516f-4a9a-93fc-2a015c3c555c,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
ITASY,active,update,0698b16e-26f0-4883-82cb-afa5c172fa7e,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
MELAKY,active,update,bff67cd1-b5f7-45b2-b479-9b24043a751d,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
MENABE,active,update,38a0a19b-f91e-4044-a8db-a4b62490bf27,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
SAVA,active,update,a058f2ac-7f6c-4db4-8d4f-ce5186bedb24,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
SOFIA,active,update,57045aff-b036-4ec6-a967-820f6399e564,Madagascar,03176924-6b3c-4b74-bccd-32afcceebabd,jurisdiction,jdn,2,Jurisdiction,jdn,,
