locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CEG Mizilo Gare,active,create,c346233d-a095-4125-a241-de1c617cbf10,,41911539-44ec-49f8-90fa-a19de1416925,CEG,ceg,5,Building,bu,,
CEG Morafeno,active,create,9e240cb1-d26d-4a77-bdcc-e6ce73fffcb8,,4d0ebcc0-6477-4d25-9e10-183e06a4a091,CEG,ceg,5,Building,bu,43.486607,-21.784483
CEG Morafeno,active,create,e590386b-afff-4b61-8341-b9dca99138d3,,ed13b810-0ccc-4ff4-9c19-d42c0880a35a,CEG,ceg,5,Building,bu,,
CEG Moroteza,active,create,96871688-5bc6-47a9-b879-e6b55e7c54c9,,1e19d760-23c5-4574-a659-ebb3172033aa,CEG,ceg,5,Building,bu,,
CEG Namakia,active,create,d7680fc0-e2f5-4973-9d05-f76c402d4a4d,,9d83a546-65b4-486a-b989-9192222167ba,CEG,ceg,5,Building,bu,,
CEG Namatoa,active,create,5d7c26db-4a15-4312-bc26-fe0301254d6f,,74619b26-8d58-4381-8ef8-7eeadf3ff542,CEG,ceg,5,Building,bu,43.626475,-21.614983
CEG Namohora Iaborano,active,create,24b1ccf4-051b-441e-96e6-2fb8bf05b9b0,,c80d4cf3-6fa6-4bf2-ad5d-21796b79c7f4,CEG,ceg,5,Building,bu,,
CEG Namorona,active,create,4dbabbef-e948-4f05-bce3-5a01afde8a72,,3c2fc71a-8d34-4395-9e88-8379a23e109d,CEG,ceg,5,Building,bu,,
CEG Nanasana,active,create,13fc8ee2-3507-4dd4-81ee-5a8957b22c6a,,e9bfd037-3c2b-4697-b9d8-a5fed6c85641,CEG,ceg,5,Building,bu,,
CEG Nato,active,create,a0c5418e-2d99-4ec0-bd58-cf0a62c53132,,5bcb6825-4d99-49d7-8cbb-405656b405a0,CEG,ceg,5,Building,bu,,
CEG Nikoly,active,create,518863b6-6200-47ce-866b-e828bc2487de,,409bb851-c200-4643-b590-5f0b2005e8d2,CEG,ceg,5,Building,bu,,
CEG Nosibe Marotoko,active,create,bb1b5eee-fe60-44ae-9118-4502c8bb6774,,089019b6-9139-4907-b185-194065abb68e,CEG,ceg,5,Building,bu,,
CEG Nosy Varika,active,create,ae2af9be-e01f-49b4-aca6-27179c4c1368,,cbba297f-18ae-440d-be70-b598c4b61683,Water Point,water_point,5,Building,bu,48.53308333,-20.5928
CEG Onjatsy,active,create,e83ad335-b38a-4364-bbff-07c0ce1f9ecc,,c129684f-8a39-489f-a179-eb11967da763,CEG,ceg,5,Building,bu,,
CEG Ranomafana,active,create,8a088546-beda-4d98-8f9a-df20e5926324,,ca47219b-3216-41e7-b112-94fe4df13907,CEG,ceg,5,Building,bu,,
