name,active,method,id,previousid,isattractiveitem,availability,condition,appropriateusage,accountabilityperiod,imagesourceurl
Armoire en metal,true,create,20,S0002166,false,Demander aupres du partenaire quelles sont les armoires que l'UNICEF a fournies,L'armoire ne doit pas être cassée ou avoir des pièces manquantes. Il doit être entièrement refermable et verrouillable,Le matériel de bureau est fourni par l'UNICEF pour être utilisé exclusivement pour les travaux soutenus par l'UNICEF. Toute autre utilisation non conforme du matériel fourni par l'UNICEF doit être signalée,24,
Babyfoot,true,create,41,11111,false,Livre a des Maisons de Jeunesse dans le cadre du projet Life Skills etc,C'est un babyfoot ! Il a besoin d'un ballon bien sur,,24,
Balance Enfant (Salter),true,create,7,S0145555,false,"Balance mecanique, sur ressorts, avec cadran rond, pese jusq'a 25kg","Testez la balance pour voir si ca marche !
",Cette balance permet de mesurer le poids d'un bebe en placant l'enfant dedans,24,
Balance Mere-Enfant (Electrique),true,create,5,S0141021,false,"Balance electrique pour peser adultes et enfants, jusqu'a 250kg",Fourni avec piles (a remplacer par utilisateur si necessaire),Cette balance permet a un adulte de mesurer le  poids d'un enfant en tenant la balance dans sa main,36,
Banc de salle de classe,true,create,13,11111,false,"Les bancs de l'UNICEF sont fabriqués localement, généralement en bois et en métal, pour accueillir 1 à 3 écoliers",Le banc ne doit pas être cassé ou avoir des pièces manquantes,Les bancs doivent être installés dans des salles de classe usagées au milieu de la pièce où les enfants seront assis,36,
Bloc Latrines,true,create,12,11111,false,"En général, l'UNICEF construit 1 bloc de 2 latrines avec 1 urinoir par site. Parfois, il peut y avoir 2 blocs de latrines, ou même un bloc de toilettes avec 3 cabines (lorsque l'eau courante est disponible)","Vérifier si les latrines sont séparées (homme et femme), Vérifier si la porte est en place et équipée d'une serrure intérieure, Vérifier si les cabines sont accessibles, vérifier si les latrines génèrent des odeurs et des mouches.",Les latrines ne doivent être fermées ou verrouillées à n'importe quel moment de la journée scolaire. Les latrines doivent etre nettoyés régulièrement. Vérifiez si l'intérieur a été nettoyé récemment,36,
Bucket with Lid 15-20 lt,true,create,90,1,false,Seau plastique de 15L,,,24,
"Calcium Hypochlorite (HTH), drum 50kg (PPOS)",true,create,86,1111,false,"Calcium Hypochlorite (HTH), drum 50kg
Unité : bidon de 45kg",,,24,
"Chlorine, salt water treatment,",true,create,83,1111,false,"Chlorine, salt water treatment, SurEAU (PPOS)
Unité : Flacon",Est-ce qu'ils sont en bon état ? Vérifiez si les dates de péremption ne sont pas encore dépassées,,24,
Conteur,true,create,6,S0845011,false,"Conteur, 60 minutes, mecanique. Facile a lire, 0 a 60 minutes en intervalles de 5 minutes. On fixe le conteur en tournant le cadran",Testez le conteur pour voir si ca marche !,Vous pouvez demander a la sage femme / infirmiere comment elles utilisent ce conteur,24,
Conteur de Conductivite / Conductimetre,true,create,48,S0005446,false,Conductimètre électrique de poche ayant une plage de 0 à 100 mS. Le compteur est utilisé pour tester instantanément la qualité des échantillons d'eau,"Il est fourni avec:
1x électrode de conductivité
1x solution d'étalonnage
1x batterie supplémentaire",Demandez si le conductimètre a été utilisé ce mois-ci et quels ont été les résultats. Nous nous attendrions à entendre que le partenaire a testé la qualité de l'eau dans des points d'eau nouveaux et établis (pas nécessairement construits par l'UNICEF),60,
